roundNo,snapshotDate,league,homeTeam,awayTeam,homeElo,awayElo,eloDiff,homeHomeElo,awayAwayElo,homeAwayDiff,homeFormPoints,awayFormPoints,formDiff,homeLast5Wins,awayLast5Wins,homeRank,awayRank,rankDiff,homePoints,awayPoints,pointsDiff,homeGoalsFor,awayGoalsFor,homeGoalsAgainst,awayGoalsAgainst,homeGoalDifference,awayGoalDifference,goalDifferenceDiff,homeWinRate,awayWinRate,homeHomeWinRate,awayAwayWinRate,homeAwayWinRateDiff,homeHomeGoalsPerMatch,awayAwayGoalsPerMatch,homeAwayGoalsPerMatchDiff,homeHomeGoalsAgainstPerMatch,awayAwayGoalsAgainstPerMatch,homeAwayGoalsAgainstPerMatchDiff,homeAttackRating,awayAttackRating,attackRatingDiff,homeDefenseRating,awayDefenseRating,defenseRatingDiff,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,absDefenseDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff,h2hHomeWins,h2hDraws,h2hAwayWins,month,seasonRound,combinedGoalsPerMatch,expectedGoalGap,attackDefenseRatio,result,match_card_id,homePlayerCoreScore,homePlayerMomentum,homeTeamStability,homeCorePlayerCount,homeAvailablePlayerCount,awayPlayerCoreScore,awayPlayerMomentum,awayTeamStability,awayCorePlayerCount,awayAvailablePlayerCount,playerCoreScoreDiff,playerMomentumDiff,teamStabilityDiff,corePlayerCountDiff,availablePlayerCountDiff,home_core_GK,home_core_DF,home_core_MF,home_core_FW,home_momentum_GK,home_momentum_DF,home_momentum_MF,home_momentum_FW,home_starter_count_GK,home_starter_count_DF,home_starter_count_MF,home_starter_count_FW,home_available_count_GK,home_available_count_DF,home_available_count_MF,home_available_count_FW,away_core_GK,away_core_DF,away_core_MF,away_core_FW,away_momentum_GK,away_momentum_DF,away_momentum_MF,away_momentum_FW,away_starter_count_GK,away_starter_count_DF,away_starter_count_MF,away_starter_count_FW,away_available_count_GK,away_available_count_DF,away_available_count_MF,away_available_count_FW,GKCoreDiff,GKMomentumDiff,GKCoreRatio,GKMomentumRatio,homeGKStarterCount,awayGKStarterCount,GKStarterCountDiff,homeGKAvailableRate,awayGKAvailableRate,GKAvailableRateDiff,DFCoreDiff,DFMomentumDiff,DFCoreRatio,DFMomentumRatio,homeDFStarterCount,awayDFStarterCount,DFStarterCountDiff,homeDFAvailableRate,awayDFAvailableRate,DFAvailableRateDiff,MFCoreDiff,MFMomentumDiff,MFCoreRatio,MFMomentumRatio,homeMFStarterCount,awayMFStarterCount,MFStarterCountDiff,homeMFAvailableRate,awayMFAvailableRate,MFAvailableRateDiff,FWCoreDiff,FWMomentumDiff,FWCoreRatio,FWMomentumRatio,homeFWStarterCount,awayFWStarterCount,FWStarterCountDiff,homeFWAvailableRate,awayFWAvailableRate,FWAvailableRateDiff,homeAttackCore,awayAttackCore,attackCoreDiff,homeDefenseCore,awayDefenseCore,defenseCoreDiff,homeAttackMomentum,awayAttackMomentum,attackMomentumDiff,homeDefenseMomentum,awayDefenseMomentum,defenseMomentumDiff,homePlayerBalance,awayPlayerBalance,playerBalanceDiff
1632,2025-05-31,J.League,名古屋グランパス,町田,1488,1539,-51,1495,1507,-12,9,9,0,3,2,10,13,3,36,31,5,16,15,19,13,-3,2,-5,0.3448275862068966,0.3809523809523809,0.4,0.25,0.15,0.5333333333333333,0.75,-0.2166666666666666,0.6,0.75,-0.15,0.408684546615581,0.5291005291005291,-0.120415982484948,2.060526315789474,2.180769230769231,-0.120242914979757,51,3,5,0.120415982484948,0.120242914979757,18.64813177949294,3,7,-4,1,2,-1,0,5,-5,2,0,2,0,0,1,5,1632,1.2833333333333332,0.2166666666666666,0.2211029519463212,H,31397,0.581907,0.524037,0.636364,11.0,20.0,0.595241,0.537407,0.727273,11.0,20.0,-0.013334,-0.0133699999999999,-0.0909089999999999,0.0,0.0,0.41375,0.728037,0.576008,0.821424,0.4275,0.681519,0.45593,0.752014,1.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41375,0.4275,42.375,43.75,1.0,0.0,1.0,1.0,0.0,1.0,0.728037,0.681519,73.8037,69.1519,3.0,0.0,3.0,1.0,0.0,1.0,0.576008,0.45593,58.6008,46.593,5.0,0.0,5.0,0.6,0.0,0.6,0.821424,0.752014,83.14240000000001,76.20139999999999,2.0,0.0,2.0,1.0,0.0,1.0,0.7477992,0.0,0.7477992,0.64946525,0.0,0.64946525,0.6631887999999999,0.0,0.6631887999999999,0.6180142500000001,0.0,0.6180142500000001,0.09833395,0.0,0.09833395
1632,2025-05-31,J.League,サンフレッチェ広島,川崎フロンターレ,1560,1507,53,1535,1494,41,10,10,0,3,3,2,8,6,47,37,10,19,17,11,17,8,0,8,0.56,0.3703703703703703,0.6363636363636364,0.3636363636363636,0.2727272727272727,0.8181818181818182,0.5454545454545454,0.2727272727272728,0.3636363636363636,0.6363636363636364,-0.2727272727272727,0.5629629629629629,0.4663923182441701,0.0965706447187927,3.0681818181818183,2.1441176470588235,0.9240641711229948,53,6,10,0.0965706447187927,0.9240641711229948,20.25412696316836,9,4,5,3,1,2,4,2,2,0,0,0,1,0,0,5,1632,1.3636363636363638,0.2727272727272728,0.1974820402909412,A,32335,0.593868,0.557892,0.909091,12.0,19.0,0.557875,0.491594,0.909091,10.0,20.0,0.0359929999999999,0.066298,0.0,2.0,-1.0,0.5,0.75,0.464336,0.797806,0.5,0.75,0.423352,0.705278,1.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,0.5,0.618356,0.561667,0.503139,0.5,0.595435,0.475286,0.386456,1.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.13164399999999998,0.15456499999999995,1.209505439591569,1.2552957790679429,3.0,4.0,-1.0,1.0,1.0,0.0,-0.097331,-0.05193399999999998,0.8297417902380232,0.8929826947408332,4.0,3.0,1.0,1.0,1.0,0.0,0.294667,0.31882199999999994,1.574244015754016,1.804180035111084,3.0,3.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.697765,0.5206974,0.1770676,0.6875,0.588767,0.09873299999999996,0.6207001999999999,0.413105,0.20759519999999992,0.6875,0.57157625,0.11592374999999999,0.010264999999999969,0.06806960000000006,-0.057804600000000095
1632,2025-05-31,J.League,セレッソ大阪,FC東京,1550,1546,4,1509,1553,-44,10,7,3,3,2,5,4,-1,42,42,0,18,18,14,14,4,4,0,0.4615384615384615,0.4615384615384615,0.3076923076923077,0.5714285714285714,-0.2637362637362637,0.7692307692307693,0.8571428571428571,-0.0879120879120878,0.6923076923076923,0.4285714285714285,0.2637362637362637,0.5128205128205128,0.5128205128205128,0.0,2.5071428571428576,2.5071428571428576,0.0,4,1,0,0.0,0.0,1.65,9,7,2,3,2,1,3,3,0,0,0,0,0,0,0,5,1632,1.6263736263736264,0.0879120879120878,0.2045397151477656,D,32259,0.618368,0.532644,1.0,11.0,20.0,0.593403,0.515653,0.909091,11.0,20.0,0.024965,0.0169909999999999,0.090909,0.0,0.0,0.51875,0.681806,0.545017,0.719722,0.4875,0.596167,0.445618,0.633986,1.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,0.5,0.695278,0.589444,0.535222,0.5,0.653089,0.475931,0.448033,1.0,3.0,5.0,2.0,1.0,4.0,4.0,2.0,0.018750000000000044,-0.012500000000000011,1.036764705882353,0.9754901960784313,1.0,1.0,0.0,1.0,1.0,0.0,-0.013471999999999928,-0.05692200000000003,0.9808983124384996,0.9141563198906933,4.0,3.0,1.0,1.0,1.0,0.0,-0.044426999999999994,-0.03031299999999998,0.9258863213244273,0.9376187154143284,3.0,5.0,-2.0,1.0,0.8,0.19999999999999996,0.1845,0.18595300000000003,1.33839426875658,1.4059816650765338,3.0,2.0,1.0,1.0,1.0,0.0,0.6673104999999999,0.5514886,0.11582189999999992,0.6410420000000001,0.6464584999999999,-0.005416499999999824,0.5774756000000001,0.4564024,0.1210732000000001,0.56900025,0.61481675,-0.04581650000000004,0.026268499999999806,0.09496989999999994,-0.06870140000000013
1632,2025-05-31,J.League,V・ファーレン長崎,水戸ホーリーホック,1461,1500,-39,1515,1477,38,4,7,-3,1,2,26,20,-6,22,26,-4,10,14,13,15,-3,-1,-2,0.3157894736842105,0.2857142857142857,0.5,0.2307692307692307,0.2692307692307692,0.75,0.5384615384615384,0.2115384615384615,0.5,0.7692307692307693,-0.2692307692307693,0.3898635477582846,0.4938271604938271,-0.1039636127355425,1.9730769230769232,1.89,0.083076923076923,39,6,4,0.1039636127355425,0.083076923076923,15.187408107162492,1,6,-5,0,2,-2,0,0,0,1,1,0,1,0,0,5,1632,1.2884615384615383,0.2115384615384615,0.2287471492629113,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,京都サンガF.C.,柏レイソル,1484,1507,-23,1492,1486,6,6,9,-3,2,3,14,6,-8,30,42,-12,14,16,15,15,-1,1,-2,0.3478260869565217,0.4642857142857143,0.2857142857142857,0.3333333333333333,-0.0476190476190476,0.6428571428571429,0.5,0.1428571428571429,0.7142857142857143,0.6666666666666666,0.0476190476190476,0.4508856682769726,0.4232804232804232,0.0276052449965494,2.0700000000000003,2.5200000000000005,-0.4500000000000002,23,8,12,0.0276052449965494,0.4500000000000002,10.145521048999308,3,9,-6,1,3,-2,1,3,-2,0,0,0,0,0,0,5,1632,1.1428571428571428,0.1428571428571429,0.1904459797297217,A,32226,0.592917,0.532128,0.818182,9.0,20.0,0.598069,0.53776,0.909091,10.0,19.0,-0.0051519999999999,-0.0056319999999999,-0.090909,-1.0,1.0,0.5,0.635301,0.660208,0.573958,0.5,0.535269,0.583917,0.491889,1.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,0.5,0.664606,0.700293,0.581944,0.5,0.593269,0.611068,0.432778,1.0,4.0,4.0,2.0,1.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.029305000000000025,-0.05800000000000005,0.9565598289964808,0.9038571516189294,4.0,4.0,0.0,0.5,0.75,-0.25,-0.04008500000000004,-0.027150999999999925,0.943565542670419,0.9562833699369474,4.0,4.0,0.0,1.0,1.0,0.0,-0.007986000000000049,0.059111000000000025,0.9865088589461164,1.1335003094101332,2.0,2.0,0.0,1.0,0.5,0.5,0.599833,0.6174487,-0.017615700000000012,0.60147575,0.6234545,-0.021978750000000047,0.5194974,0.48626499999999995,0.03323240000000005,0.52645175,0.56995175,-0.04349999999999998,0.0016427500000000261,0.006005800000000061,-0.004363050000000035
1632,2025-05-31,J.League,ヴィッセル神戸,鹿島アントラーズ,1497,1617,-120,1505,1565,-60,2,10,-8,0,3,18,1,-17,27,59,-32,13,23,12,8,1,15,-14,0.3684210526315789,0.6923076923076923,0.5,0.6923076923076923,-0.1923076923076923,0.625,0.9230769230769232,-0.2980769230769231,0.5,0.3076923076923077,0.1923076923076923,0.50682261208577,0.6552706552706552,-0.1484480431848852,2.1375,4.3875,-2.25,120,17,32,0.1484480431848852,2.25,46.72968960863698,1,6,-5,0,2,-2,0,0,0,1,1,0,0,0,0,5,1632,1.5480769230769231,0.2980769230769231,0.1780958555970674,H,32488,0.650472,0.587069,0.818182,12.0,20.0,0.638417,0.570567,0.909091,11.0,20.0,0.012055,0.0165019999999999,-0.090909,1.0,0.0,0.5,0.691012,0.644844,0.671204,0.5,0.638952,0.563771,0.586185,1.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,0.5,0.662619,0.669266,0.611285,0.5,0.623905,0.580532,0.495069,1.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.028393,0.015046999999999922,1.0422126047584146,1.0237369952910924,4.0,4.0,0.0,1.0,1.0,0.0,-0.024422000000000055,-0.016761000000000026,0.964046485471082,0.9716171181239966,4.0,4.0,0.0,1.0,1.0,0.0,0.059919000000000056,0.09111599999999997,1.0964436611217074,1.1804030736394433,2.0,2.0,0.0,1.0,1.0,0.0,0.663296,0.6286792999999999,0.034616700000000056,0.643259,0.62196425,0.02129475000000003,0.5794608,0.5207079,0.0587529,0.604214,0.59292875,0.011285250000000024,0.02003699999999997,0.006715049999999945,0.013321950000000027
1632,2025-05-31,J.League,アビスパ福岡,ジェフユナイテッド千葉,1489,1463,26,1505,1462,43,6,3,3,1,1,12,22,10,35,24,11,17,10,18,14,-1,-4,3,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.1818181818181818,0.2467532467532467,0.6428571428571429,0.3636363636363636,0.2792207792207792,0.5714285714285714,0.8181818181818182,-0.2467532467532468,0.4663923182441701,0.3527336860670194,0.1136586321771507,2.0250000000000004,2.0250000000000004,0.0,26,10,11,0.1136586321771507,0.0,11.622731726435427,4,0,4,1,0,1,2,0,2,0,3,-3,0,0,0,5,1632,1.0064935064935066,0.2792207792207792,0.2022483406116365,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,ファジアーノ岡山,浦和レッズ,1475,1469,6,1497,1449,48,9,10,-1,3,3,16,15,-1,28,29,-1,14,13,20,18,-6,-5,-1,0.2592592592592592,0.3076923076923077,0.4166666666666667,0.1428571428571428,0.2738095238095238,0.5,0.3571428571428571,0.1428571428571428,0.5833333333333334,0.8571428571428571,-0.2738095238095237,0.3840877914951988,0.3703703703703703,0.0137174211248284,1.8225,1.95,-0.1274999999999999,6,1,1,0.0137174211248284,0.1274999999999999,2.3782434842249653,6,4,2,2,1,1,0,1,-1,1,0,1,0,0,1,5,1632,0.8571428571428572,0.1428571428571428,0.1999836086162246,D,32519,0.634618,0.573056,0.636364,13.0,20.0,0.497465,0.422036,0.727273,8.0,18.0,0.137153,0.15102,-0.0909089999999999,5.0,2.0,0.448889,0.844375,0.61213,0.614757,0.460778,0.825,0.522784,0.518431,1.0,3.0,4.0,3.0,1.0,4.0,5.0,3.0,0.5,0.555833,0.457681,0.51875,0.415,0.495,0.384739,0.396667,1.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,-0.05111100000000002,0.04577800000000004,0.8997823529411765,1.1077129411764708,1.0,1.0,0.0,1.0,1.0,0.0,0.28854199999999997,0.32999999999999996,1.509941979347263,1.6534653465346534,3.0,4.0,-1.0,1.0,0.5,0.5,0.15444899999999995,0.13804500000000003,1.3302443332100298,1.3497120882405844,4.0,5.0,-1.0,1.0,0.8,0.19999999999999996,0.09600699999999995,0.12176399999999998,1.1815735224586288,1.299419426705388,3.0,1.0,2.0,1.0,1.0,0.0,0.6139688999999999,0.5004293,0.11353959999999996,0.7455035,0.5418747500000001,0.20362874999999991,0.5197369,0.3930886,0.12664829999999994,0.7339444999999999,0.475,0.2589444999999999,0.13153460000000006,0.041445450000000106,0.09008914999999995
1632,2025-05-31,J.League,清水エスパルス,横浜F・マリノス,1501,1529,-28,1484,1498,-14,7,4,3,2,1,9,3,-6,37,46,-9,15,16,15,13,0,3,-3,0.4230769230769231,0.5357142857142857,0.3076923076923077,0.4666666666666667,-0.1589743589743589,0.5384615384615384,0.4666666666666667,0.0717948717948717,0.6923076923076923,0.5333333333333333,0.1589743589743589,0.4273504273504273,0.4232804232804232,0.004070004070004,2.3400000000000003,2.907692307692308,-0.5676923076923073,28,6,9,0.004070004070004,0.5676923076923073,11.41435246235246,1,3,-2,0,1,-1,0,1,-1,2,0,2,0,0,0,5,1632,1.005128205128205,0.0717948717948717,0.1620930861505286,D,32402,0.672743,0.595669,0.909091,12.0,19.0,0.539097,0.460933,0.454545,10.0,18.0,0.1336459999999999,0.134736,0.454546,2.0,1.0,0.5,0.82831,0.646429,0.592,0.4,0.773398,0.570286,0.4962,1.0,3.0,4.0,3.0,0.0,5.0,4.0,3.0,0.5,0.833681,0.571389,0.435324,0.4275,0.745194,0.477021,0.356731,1.0,4.0,3.0,3.0,1.0,4.0,4.0,2.0,0.0,-0.02749999999999997,1.0,0.9371428571428572,1.0,1.0,0.0,0.0,1.0,-1.0,-0.005371000000000015,0.028204000000000007,0.9936338497607508,1.0373466950214116,3.0,4.0,-1.0,1.0,1.0,0.0,0.07504,0.09326499999999999,1.1290702094466871,1.1915009825038345,4.0,3.0,1.0,1.0,1.0,0.0,0.15667599999999998,0.13946899999999995,1.351824738841832,1.3803032740619143,3.0,3.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0.6083286999999999,0.47614349999999994,0.1321852,0.7462325,0.75026075,-0.0040282500000000665,0.5184257999999999,0.392818,0.12560779999999994,0.6800485,0.6657705,0.014277999999999902,0.13790380000000002,0.2741172500000001,-0.13621345000000007
1632,2025-05-31,J.League,ガンバ大阪,東京ヴェルディ,1520,1506,14,1519,1469,50,7,3,4,2,1,7,11,4,41,35,6,19,15,15,14,4,1,3,0.4230769230769231,0.4166666666666667,0.5,0.2727272727272727,0.2272727272727273,0.7142857142857143,0.3636363636363636,0.3506493506493506,0.5,0.7272727272727273,-0.2272727272727273,0.5413105413105412,0.4629629629629629,0.0783475783475783,2.3400000000000003,2.3142857142857145,0.0257142857142858,14,4,6,0.0783475783475783,0.0257142857142858,5.920812372812373,3,0,3,1,0,1,1,0,1,0,4,-4,1,0,0,5,1632,1.077922077922078,0.3506493506493506,0.2157692907124319,D,32528,0.501257,0.459175,0.727273,9.0,19.0,0.555544,0.495282,0.818182,11.0,20.0,-0.054287,-0.036107,-0.090909,-2.0,-1.0,0.0,0.717083,0.450926,0.502847,0.0,0.6685,0.3765,0.485583,1.0,4.0,3.0,3.0,0.0,4.0,2.0,3.0,0.5,0.499231,0.624144,0.544147,0.5,0.481524,0.548833,0.448921,1.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,-0.5,-0.5,0.0196078431372549,0.0196078431372549,1.0,1.0,0.0,0.0,1.0,-1.0,0.21785200000000005,0.18697599999999998,1.4278058484263527,1.3804005501257313,4.0,3.0,1.0,1.0,0.6666666666666666,0.33333333333333337,-0.17321800000000004,-0.17233300000000001,0.7268475298985719,0.6916198578108308,3.0,4.0,-1.0,0.6666666666666666,1.0,-0.33333333333333337,-0.0413,0.03666199999999997,0.9254710392729727,1.0798873880253899,3.0,3.0,0.0,1.0,1.0,0.0,0.4872707,0.5681461,-0.08087539999999999,0.53781225,0.49942325,0.038389000000000006,0.4528581,0.47889459999999995,-0.026036499999999962,0.501375,0.486143,0.015232000000000023,0.05054154999999999,0.06872285,-0.01818130000000001
1632,2025-05-31,J.League,ベガルタ仙台,ヴァンフォーレ甲府,1509,1447,62,1506,1493,13,7,9,-2,2,3,23,37,14,23,11,12,11,5,9,11,2,-6,8,0.4,0.2142857142857142,0.4,0.3333333333333333,0.0666666666666667,0.7,0.5,0.1999999999999999,0.6,0.6666666666666666,-0.0666666666666666,0.5432098765432098,0.2645502645502645,0.2786596119929453,2.2500000000000004,1.7181818181818185,0.5318181818181822,62,14,12,0.2786596119929453,0.5318181818181822,25.362095558762224,3,6,-3,1,2,-1,0,1,-1,2,0,2,0,0,0,5,1632,1.2,0.1999999999999999,0.2035541269756825,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,富山,宮崎,1497,1535,-38,1485,1509,-24,9,10,-1,2,3,31,38,7,16,10,6,8,4,9,1,-1,3,-4,0.3076923076923077,0.75,0.125,0.5,-0.375,0.625,1.0,-0.375,0.875,0.5,0.375,0.4558404558404558,0.7407407407407407,-0.2849002849002848,1.95,5.4,-3.45,38,7,6,0.2849002849002848,3.45,15.796980056980056,7,7,0,2,2,0,5,4,1,0,0,0,0,0,0,5,1632,1.625,0.375,0.1627979478620966,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,ブラウブリッツ秋田,北海道コンサドーレ札幌,1526,1501,25,1505,1489,16,7,9,-2,2,3,17,19,2,27,26,1,13,10,10,10,3,0,3,0.4117647058823529,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.5664488017429193,0.411522633744856,0.1549261679980633,2.295,2.43,-0.1350000000000002,25,2,1,0.1549261679980633,0.1350000000000002,9.307985233599611,6,6,0,2,2,0,2,0,2,0,1,-1,0,0,0,5,1632,1.3333333333333337,0.2222222222222222,0.206973701188922,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,2025-05-24,J.League,アビスパ福岡,ヴィッセル神戸,1477,1510,-33,1496,1509,-13,3,2,1,0,0,12,17,5,32,27,5,16,13,18,11,-2,2,-4,0.3076923076923077,0.3888888888888889,0.3846153846153846,0.3,0.0846153846153846,0.6153846153846154,0.8,-0.1846153846153846,0.6153846153846154,0.7,-0.0846153846153845,0.4558404558404558,0.5349794238683128,-0.0791389680278569,1.95,2.209090909090909,-0.2590909090909088,33,5,5,0.0791389680278569,0.2590909090909088,12.867645975423752,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1631,1.4153846153846157,0.1846153846153846,0.2382241886380099,H,32368,0.631854,0.541828,0.727273,10.0,20.0,0.565461,0.525435,0.909091,10.0,20.0,0.066393,0.0163929999999999,-0.181818,0.0,0.0,0.5,0.707679,0.621984,0.668611,0.4,0.58769,0.505333,0.596347,1.0,3.0,4.0,3.0,0.0,5.0,3.0,2.0,0.5,0.641554,0.418229,0.824167,0.5,0.596577,0.371542,0.786778,1.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,0.0,-0.09999999999999998,1.0,0.803921568627451,1.0,1.0,0.0,0.0,1.0,-1.0,0.06612499999999999,-0.008886999999999978,1.101488134521467,0.9853489334412614,3.0,4.0,-1.0,1.0,1.0,0.0,0.20375499999999996,0.13379100000000005,1.4758085043282916,1.350658643085165,4.0,4.0,0.0,0.75,0.75,0.0,-0.15555600000000003,-0.19043100000000002,0.8135193552370209,0.7609986721520925,3.0,2.0,1.0,0.6666666666666666,1.0,-0.33333333333333337,0.6546228999999999,0.7023855999999999,-0.04776270000000005,0.65575925,0.6061654999999999,0.0495937500000001,0.5690428,0.6622071999999999,-0.09316439999999993,0.5407675000000001,0.57243275,-0.03166524999999998,0.0011363500000001192,0.09622010000000003,-0.09508374999999991
