homeTeam,awayTeam,prediction,probH,probD,probA,confidence,margin,ticketType,ticket,coverage,top1,top1Prob,top2,top2Prob,top3,top3Prob
清水エスパルス,横浜F・マリノス,H,0.4930447693343698,0.2033048230712971,0.3036504075943334,0.4930447693343698,0.1893943617400364,Single,H,0.4930447693343698,H,0.4930447693343698,A,0.3036504075943334,D,0.2033048230712971
ベガルタ仙台,ヴァンフォーレ甲府,A,0.3549474665172772,0.2250153103055973,0.4200372231771259,0.4200372231771259,0.0650897566598487,Single,A,0.4200372231771259,A,0.4200372231771259,H,0.3549474665172772,D,0.2250153103055973
ガンバ大阪,東京ヴェルディ,H,0.4520533275403181,0.2042569565616534,0.3436897158980295,0.4520533275403181,0.1083636116422886,Single,H,0.4520533275403181,H,0.4520533275403181,A,0.3436897158980295,D,0.2042569565616534
富山,宮崎,A,0.2936674840412086,0.2748562320270056,0.4314762839317859,0.4314762839317859,0.1378087998905772,Triple,HDA,1.0,A,0.4314762839317859,H,0.2936674840412086,D,0.2748562320270056
ブラウブリッツ秋田,北海道コンサドーレ札幌,A,0.3438555005211256,0.2389324701010737,0.4172120293778006,0.4172120293778006,0.073356528856675,Single,A,0.4172120293778006,A,0.4172120293778006,H,0.3438555005211256,D,0.2389324701010737
ファジアーノ岡山,浦和レッズ,H,0.5021083509895222,0.1899623868139002,0.307929262196578,0.5021083509895222,0.1941790887929441,Single,H,0.5021083509895222,H,0.5021083509895222,A,0.307929262196578,D,0.1899623868139002
ヴィッセル神戸,鹿島アントラーズ,A,0.31805749690517,0.2368551566991877,0.4450873463956423,0.4450873463956423,0.1270298494904723,Single,A,0.4450873463956423,A,0.4450873463956423,H,0.31805749690517,D,0.2368551566991877
アビスパ福岡,ジェフユナイテッド千葉,H,0.5347972963120281,0.1548034743858591,0.3103992293021137,0.5347972963120281,0.2243980670099143,Single,H,0.5347972963120281,H,0.5347972963120281,A,0.3103992293021137,D,0.1548034743858591
V・ファーレン長崎,水戸ホーリーホック,H,0.4553612608809938,0.1911386142206546,0.3535001248983523,0.4553612608809938,0.1018611359826415,Single,H,0.4553612608809938,H,0.4553612608809938,A,0.3535001248983523,D,0.1911386142206546
セレッソ大阪,FC東京,H,0.4248478975535822,0.2966917933707915,0.2784603090756264,0.4248478975535822,0.1281561041827907,Triple,HDA,1.0,H,0.4248478975535822,D,0.2966917933707915,A,0.2784603090756264
サンフレッチェ広島,川崎フロンターレ,A,0.3929987511215078,0.1797553095647053,0.427245939313787,0.427245939313787,0.0342471881922792,Double,AH,0.8202446904352948,A,0.427245939313787,H,0.3929987511215078,D,0.1797553095647053
京都サンガF.C.,柏レイソル,H,0.6034754579050635,0.1574029722526548,0.2391215698422824,0.6034754579050635,0.3643538880627811,Single,H,0.6034754579050635,H,0.6034754579050635,A,0.2391215698422824,D,0.1574029722526548
名古屋グランパス,町田,A,0.3634643336234755,0.2140175020147753,0.4225181643617494,0.4225181643617494,0.0590538307382738,Double,AH,0.7859824979852249,A,0.4225181643617494,H,0.3634643336234755,D,0.2140175020147753
